class-name,perception,LOC,C3,CBO,MPC,RFC,WMC,Readability,Avg-commit-size,number-changes,number-committors,persistance,number-fixes,avg.dev.scattering,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,NOC_type,LCOM5_type,WOC_type,WMCNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,isStatic_type,NOPA_type,number_private_visibility_attributes,number_protected_visibility_attributes,number_package_visibility_attributes,num_final_attributes,num_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_final_not_static_attributes,num_static_not_final_attributes,number_public_visibility_methods,number_private_visibility_methods,number_protected_visibility_methods,number_package_visibility_methods,number_final_methods,number_abstract_methods,number_not_abstract_not_final_methods,number_static_methods,number_final_static_methods,number_final_not_static_methods,number_not_final_static_methods,number_not_final_not_static_methods,number_standard_design_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,is_controller,is_procedural,is_test,is_util,is_external,is_controller,is_procedural,is_util,is_test,is_external
org.apache.cxf.jaxws.support.JaxWsServiceConfiguration,SEVERE,956,0.43,14,0.43,10,30,0.35,11,37,5,3,5,0.48,3,8,1,0,0,2,0,1,1,1,0,77,90,16,0.5,6,0.72,0.97,11,8,6,1,9,2,5,12,0,11,12,3,11,5,4,11,4,10,8,11,2,11,3,5,10,3,12,11,8,9,7,11,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.management.web.logging.ReadOnlyFileStorage,SEVERE,1088,0.38,8,0.47,7,30,0.38,11,37,6,6,3,0.48,1,4,1,1,1,2,2,1,2,1,0,50,70,27,0.61,50,0.44,0.54,24,5,10,2,6,0,3,2,2,7,11,6,4,1,4,2,2,3,0,0,5,10,11,12,12,4,3,9,0,2,8,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.maven_plugin.AbstractCodegenMoho,NON-SEVERE,1040,0.57,8,0.46,7,28,0.3,3,19,6,4,6,0.5,0,5,0,2,0,1,1,0,1,0,2,83,77,41,0.33,39,0.05,0.43,50,6,2,11,4,1,5,6,12,8,11,0,1,3,12,12,7,4,2,5,3,2,6,6,10,1,11,1,11,9,10,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.staxutils.StaxUtils,NON-SEVERE,1089,0.63,19,0.44,8,29,0.44,6,18,5,1,5,0.4,3,3,0,0,2,0,1,0,1,2,1,98,88,47,0.12,3,0.2,0.3,23,3,12,8,9,0,5,3,12,8,3,12,7,9,0,7,7,5,6,4,5,10,2,9,3,2,3,2,4,5,2,8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
org.apache.cxf.sts.operation.AbstractOperation,MEDIUM,1064,0.59,18,0.45,5,31,0.31,7,22,7,4,4,0.47,2,9,1,1,2,1,2,1,2,1,0,81,84,11,0.97,10,0.46,0.3,40,4,10,7,4,6,7,2,6,3,5,1,11,6,10,12,5,9,4,11,5,0,7,12,7,11,7,12,2,6,0,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.sts.operation.IssueOnbehalfofUnitTest,MEDIUM,1024,0.5,20,0.53,5,29,0.44,3,16,4,2,5,0.41,2,2,0,1,2,0,2,1,0,1,0,107,58,31,0.13,52,0.21,0.77,66,11,7,10,12,9,7,3,6,4,10,7,11,6,3,6,3,8,3,0,12,3,11,11,6,11,5,7,1,8,3,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.sts.operation.IssueSamlClaimsUnitTest,MEDIUM,1069,0.49,20,0.51,6,32,0.34,3,15,5,4,4,0.42,1,5,2,1,0,2,0,0,0,2,0,30,104,30,0.28,9,0.21,0.41,39,6,10,6,2,11,4,2,12,3,3,2,5,7,2,9,8,9,10,9,11,12,9,0,0,8,2,8,7,10,12,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.sts.operation.ValidateTokenTransformationUnitTest,MEDIUM,1058,0.37,15,0.44,5,29,0.38,5,40,4,5,5,0.51,1,10,2,0,1,2,2,1,0,1,2,105,46,11,0.86,53,0.52,0.71,99,2,11,12,10,5,1,2,10,5,4,1,5,9,5,0,8,12,6,11,9,6,1,8,10,1,9,7,10,5,3,10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.systest.dispatch.DispatchClientServerTest,MEDIUM,1005,0.43,14,0.55,10,25,0.31,3,16,6,3,5,0.54,1,8,2,0,2,2,1,1,0,1,2,62,27,10,0.66,14,0.74,0.36,20,2,6,3,0,2,0,9,4,12,8,9,4,12,7,11,7,8,12,8,12,3,7,4,1,2,0,6,8,10,4,6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.systest.handlers.HandlerInvocationTest,MEDIUM,1014,0.64,21,0.54,10,29,0.37,6,17,4,2,3,0.53,2,6,0,2,2,0,1,1,0,1,1,55,43,41,0.86,42,0.82,0.55,1,7,6,11,12,9,5,2,11,3,3,2,3,7,7,12,0,9,0,12,12,3,12,7,12,11,4,2,11,12,5,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.systest.http.HTTPConduitTest,MEDIUM,971,0.59,19,0.48,11,28,0.43,3,16,3,3,5,0.44,1,5,0,0,0,1,2,0,1,2,1,52,60,39,0.45,33,0.43,0.57,26,7,4,1,8,1,7,5,4,9,7,1,0,10,10,12,10,12,7,10,5,1,1,3,9,6,6,9,2,3,0,12,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.systest.jaxrs.BookStore,MEDIUM,1094,0.61,10,0.52,9,29,0.44,5,25,4,4,3,0.4,1,4,0,2,0,1,2,1,0,2,0,82,74,40,0.6,11,0.04,0.65,10,6,6,6,12,8,12,5,8,10,11,12,8,8,2,6,6,11,8,5,1,5,0,6,1,8,3,1,4,5,2,9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.systest.jaxrs.JAXRSClientServerBookTest,MEDIUM,934,0.56,14,0.47,11,27,0.31,6,26,3,2,4,0.5,2,10,1,1,0,1,0,1,0,2,1,31,116,34,0.9,40,0.06,0.62,58,2,12,1,10,3,3,1,7,12,12,8,12,10,2,2,7,1,7,3,4,3,7,3,12,7,1,8,6,6,7,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.systest.jaxrs.JAXRSMultipartTest,MEDIUM,929,0.55,13,0.49,7,31,0.42,7,14,5,2,5,0.48,1,3,0,2,0,0,1,1,2,2,0,28,40,44,0.45,9,0.78,0.52,68,5,7,2,0,5,9,12,6,5,10,1,11,3,0,8,0,12,2,6,6,12,12,8,8,9,1,5,6,5,11,11,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.systest.jaxrs.JAXRSSoapBookTest,MEDIUM,1038,0.39,21,0.55,10,31,0.32,4,18,5,2,5,0.55,2,1,1,0,0,1,1,0,2,2,2,55,116,37,0.05,52,0.66,0.81,32,1,4,9,8,5,11,6,5,11,11,0,7,6,5,2,0,7,1,5,8,10,0,11,11,12,6,9,8,9,0,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.systest.jaxws.ClientServerMiscTest,MEDIUM,1079,0.6,16,0.43,5,33,0.37,6,21,7,2,3,0.48,3,3,0,2,1,0,2,2,1,0,2,80,120,4,0.88,16,0.28,0.43,79,2,3,0,8,11,9,1,12,4,8,7,12,6,1,10,4,4,0,0,1,0,10,11,6,5,6,11,4,12,5,10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.systest.jaxws.ClientServerTest,MEDIUM,1065,0.42,14,0.41,6,31,0.3,16,37,7,3,5,0.53,3,5,1,0,0,2,2,1,0,2,2,116,43,10,0.46,25,0.66,0.38,53,1,1,1,2,5,9,9,3,9,3,7,7,8,1,12,0,5,1,4,9,8,3,4,7,1,8,10,3,12,3,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.systest.jms.JMSClientServerTest,MEDIUM,1002,0.56,13,0.52,7,34,0.38,4,25,7,4,6,0.46,2,10,0,2,2,2,0,0,1,2,2,32,46,6,0.44,42,0.73,0.92,77,4,1,3,2,12,6,7,7,2,2,1,5,9,0,7,2,11,3,5,4,5,6,1,8,2,3,6,0,6,3,11,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.systest.sts.batch.SimpleBatchSTSClient,MEDIUM,1079,0.38,13,0.45,8,31,0.3,4,26,3,2,3,0.41,3,6,1,2,2,1,2,0,1,0,0,90,47,39,0.43,2,0.85,0.75,9,11,12,9,6,11,1,6,6,5,6,7,8,11,12,4,8,3,3,0,6,6,6,9,8,1,8,12,5,12,9,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
org.apache.cxf.systest.type_test.AbstractTypeTestClient,MEDIUM,1106,0.39,15,0.42,10,33,0.44,7,22,3,1,5,0.52,3,8,1,2,2,1,0,1,0,1,1,116,94,38,0.91,49,0.67,0.98,11,7,5,8,0,4,4,0,8,12,2,11,7,1,7,4,2,5,1,10,10,11,10,2,4,12,6,6,6,0,10,8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.systest.type_test.AbstractTypeTestClient2,MEDIUM,893,0.48,16,0.48,6,28,0.42,5,16,3,1,6,0.43,0,0,1,0,1,2,0,1,0,2,0,81,87,39,0.23,22,0.54,0.26,34,8,1,5,0,10,0,4,0,12,1,10,5,2,9,10,7,12,0,10,0,3,4,1,11,9,0,5,11,12,6,12,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.systest.type_test.AbstractTypeTestClient3,MEDIUM,945,0.46,7,0.42,7,27,0.39,6,24,6,4,3,0.51,1,5,0,0,1,1,1,1,1,0,1,120,65,24,0.03,34,0.2,0.34,69,0,6,8,11,6,6,0,8,5,3,6,0,5,3,2,11,6,0,12,11,4,1,11,5,5,5,2,12,11,1,11,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.systest.type_test.AbstractTypeTestClient4,MEDIUM,1084,0.38,7,0.45,9,26,0.41,5,19,3,3,6,0.4,3,1,1,2,1,2,1,2,2,1,2,101,29,41,0.62,11,1,0.84,56,0,8,12,5,12,0,12,10,4,2,3,10,7,9,9,10,3,1,1,9,4,10,2,12,1,0,11,6,10,10,11,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.systest.ws.rm.SequenceTest,MEDIUM,895,0.46,11,0.55,10,27,0.33,6,14,7,2,4,0.49,0,9,0,0,1,2,0,1,1,2,0,65,73,24,0.52,55,0.49,0.29,11,3,3,0,2,2,7,5,2,12,6,11,8,4,2,7,0,10,9,6,6,1,5,3,1,1,8,6,2,2,12,7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.systest.ws.saml.SamlTokenTest,MEDIUM,1058,0.53,20,0.55,7,28,0.3,6,21,4,3,3,0.42,2,2,2,2,2,0,1,0,2,0,2,90,32,46,0.67,0,0.92,0.68,46,8,1,11,11,11,8,1,9,8,7,11,6,8,9,4,12,0,8,11,10,0,7,1,4,7,0,5,6,4,3,10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.systest.ws.saml.StaxSamlTokenTest,NON-SEVERE,1072,0.55,13,0.5,11,31,0.4,15,34,7,6,5,0.44,1,4,0,2,0,2,1,0,0,1,2,61,79,52,0.89,42,0.48,0.47,53,10,9,8,12,6,5,3,5,5,9,12,4,9,1,7,5,5,7,11,2,5,9,8,8,0,9,8,7,10,2,6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.systest.ws.x509.StaxX509TokenTest,NON-SEVERE,1060,0.34,14,0.45,7,31,0.31,2,8,5,1,5,0.44,0,8,1,2,2,1,0,2,1,2,0,111,27,48,0.23,24,0.33,0.37,43,9,12,10,10,7,6,10,2,8,2,7,0,12,12,1,6,3,3,2,12,3,8,11,0,7,0,6,3,12,3,4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.systest.ws.x509.X509TokenTest,NON-SEVERE,893,0.33,8,0.42,11,25,0.42,1,3,6,1,3,0.4,2,4,0,0,0,0,2,1,1,2,1,45,119,12,0.45,24,0.74,0.49,47,5,0,12,1,6,3,1,6,4,1,2,1,1,1,0,2,4,8,5,0,2,12,1,9,3,2,9,2,2,7,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.tools.corba.processors.idl.IDLLexer,NON-SEVERE,1050,0.39,7,0.44,5,28,0.32,0,3,6,1,6,0.48,2,7,1,2,0,1,0,1,2,1,1,113,70,41,0.41,53,0.79,0.56,4,0,4,4,8,6,0,4,8,9,2,3,2,2,7,0,12,9,5,0,0,0,1,2,8,2,10,0,3,12,7,7,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.tools.corba.processors.idl.IDLParser,NON-SEVERE,921,0.62,8,0.45,6,25,0.35,6,26,6,1,3,0.52,3,2,0,1,2,1,1,0,0,1,2,87,89,37,0.02,33,0.92,0.04,27,11,8,9,8,2,4,10,3,5,10,12,11,2,1,12,7,6,4,9,5,7,9,8,9,0,1,8,5,10,6,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.tools.corba.processors.wsdl.WSDLParameter,NON-SEVERE,1097,0.48,15,0.41,11,33,0.41,2,8,7,0,5,0.47,0,6,2,1,2,0,2,1,0,2,1,52,53,38,0.24,53,0.53,0.93,98,1,10,0,11,1,2,0,3,6,7,3,2,6,12,8,7,7,8,12,5,4,10,11,0,12,8,3,6,11,10,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.tools.corba.processors.wsdl.WSDLToCorbaBinding,NON-SEVERE,1058,0.59,15,0.51,5,33,0.4,5,19,5,1,6,0.5,3,10,2,2,1,2,0,2,0,1,2,96,62,26,0.62,8,0.21,0.07,55,10,1,1,4,8,7,2,1,12,5,6,1,8,9,12,11,7,8,6,9,5,8,10,9,11,6,1,5,7,10,4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.tools.corba.processors.wsdl.WSDLToCorbaHelper,NON-SEVERE,981,0.37,8,0.48,5,31,0.41,13,37,5,6,6,0.54,0,10,1,2,2,0,2,0,1,2,0,88,45,20,0.95,32,0.68,0.54,86,10,0,11,10,5,9,3,6,12,12,1,8,8,12,1,11,2,9,11,11,8,6,7,3,11,12,10,0,0,6,10,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.tools.corba.processors.wsdl.WSDLToIDLAction,NON-SEVERE,956,0.37,9,0.41,5,33,0.32,7,26,6,1,5,0.41,2,0,0,0,0,1,1,1,0,0,0,92,99,44,0.79,33,0.61,0.55,16,12,2,3,2,8,6,7,1,7,3,9,1,11,8,5,2,1,7,12,6,5,2,4,5,2,0,5,5,12,8,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.tools.corba.processors.WSDLToCorbaBindingTest,NON-SEVERE,902,0.5,20,0.43,11,25,0.32,11,32,6,6,5,0.49,2,1,2,2,2,2,2,0,1,1,1,103,76,19,0.56,15,0.92,0.81,21,2,7,11,9,1,10,9,11,9,11,9,2,3,6,6,3,4,9,2,4,9,1,0,3,7,11,6,2,6,6,12,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.tools.corba.processors.WSDLToCorbaBindingTypeTest,NON-SEVERE,921,0.48,21,0.47,7,27,0.34,1,7,7,0,6,0.44,0,9,1,1,0,2,1,2,2,2,1,104,108,53,0.49,34,0.7,0.09,57,8,1,9,0,3,4,0,10,3,4,9,7,5,5,8,7,9,11,0,9,11,1,6,6,7,9,2,12,8,0,6,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.tools.corba.processors.WSDLToIDLGenerationTest,NON-SEVERE,936,0.32,16,0.41,8,32,0.38,4,17,5,1,3,0.42,2,8,0,1,0,1,0,0,0,1,0,74,31,47,0.25,52,0.98,0.37,57,4,6,2,6,6,11,2,7,5,2,4,7,3,2,2,5,8,0,3,4,4,1,5,6,11,8,7,5,3,5,11,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.tools.java2wsdl.processor.JavaToProcessorTest,MEDIUM,1007,0.36,16,0.48,9,27,0.43,6,14,7,4,4,0.41,2,1,2,2,2,0,1,0,1,1,1,64,64,38,0.04,5,0.11,0.69,14,4,6,9,2,11,8,3,9,1,6,1,7,1,10,5,9,2,6,8,10,11,5,6,11,12,7,3,11,2,6,8,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.tools.wadlto.jaxrs.SourceGenerator,NON-SEVERE,934,0.41,16,0.53,5,32,0.32,2,6,4,1,3,0.51,3,2,0,0,0,1,0,1,0,1,2,113,113,33,0.64,27,0.19,1,18,6,3,2,6,10,8,2,7,2,5,10,3,9,6,6,9,11,8,11,8,11,10,10,6,6,10,2,7,12,1,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.tools.wsdlto.databinding.jaxb.JAXBDataBinding,NON-SEVERE,1078,0.63,8,0.42,8,34,0.37,2,6,6,1,4,0.4,2,0,2,0,1,2,1,0,1,0,1,86,116,20,0.97,45,0.34,1,21,9,9,12,4,8,0,1,12,6,4,5,3,0,5,0,5,12,6,11,12,0,11,9,4,9,3,12,7,3,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.tools.wsdlto.frontend.jaxws.customization.CustomizationParser,NON-SEVERE,946,0.61,10,0.52,9,33,0.3,3,23,5,1,4,0.41,2,10,0,0,2,1,1,2,1,2,2,89,104,5,0.58,5,0.43,0.94,13,12,8,7,2,7,9,7,6,4,2,8,0,4,10,0,8,6,3,0,12,4,6,3,5,0,0,3,4,4,3,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.tools.wsdlto.frontend.jaxws.processor.internal.ParameterProcessor,NON-SEVERE,1052,0.54,15,0.42,8,30,0.44,2,3,7,1,5,0.43,3,6,0,1,0,0,1,2,2,2,0,65,33,46,0.35,7,0.84,0.67,46,11,0,11,8,6,11,4,8,5,2,1,12,9,9,10,5,2,3,10,9,4,0,9,1,1,5,8,9,2,7,11,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.tools.wsdlto.frontend.jaxws.processor.internal.ServiceProcessor,NON-SEVERE,1076,0.43,10,0.41,10,26,0.33,4,22,5,4,4,0.41,3,5,0,0,1,2,0,1,0,0,2,35,84,37,0.38,28,1,0.49,27,12,7,5,2,11,12,8,9,12,8,7,10,6,0,8,1,2,1,12,12,9,9,5,8,3,6,0,7,12,5,7,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.tools.wsdlto.jaxws.CodeGenBugTest,MEDIUM,978,0.6,13,0.46,7,29,0.3,6,15,3,2,4,0.41,3,9,2,2,0,1,2,2,2,1,0,52,27,29,0.04,37,0.72,0.68,46,7,12,2,11,8,10,0,1,6,3,1,9,9,3,0,9,8,2,1,4,1,4,12,8,7,2,0,1,2,0,7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.tools.wsdlto.jaxws.CodeGenTest,MEDIUM,1007,0.37,20,0.53,11,33,0.37,6,26,6,3,6,0.55,1,7,1,0,1,1,0,2,2,2,1,72,113,46,0.37,21,0.63,0.54,89,2,2,6,4,2,5,8,9,7,7,7,1,5,8,7,4,10,8,10,9,9,11,2,12,7,12,5,2,12,9,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.tools.wsdlto.WSDLToJavaContainer,NON-SEVERE,1025,0.37,20,0.52,8,34,0.43,2,5,7,1,5,0.49,1,4,2,2,2,1,2,1,1,0,2,36,97,23,0.22,50,0.99,0.95,32,9,5,3,7,10,1,10,2,12,12,7,11,9,11,6,8,3,10,6,12,3,9,7,9,11,3,2,4,10,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.transport.http_jetty.JettyHTTPDestinationTest,MEDIUM,967,0.54,16,0.48,7,25,0.45,4,24,4,1,4,0.54,3,1,1,0,0,2,2,1,0,1,1,102,80,10,0.52,21,0.1,0.32,94,2,8,6,12,7,11,0,2,7,0,10,4,1,12,11,10,12,12,8,7,0,8,6,5,10,11,4,10,7,12,7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.transport.http_jetty.JettyHTTPServerEngine,MEDIUM,1057,0.47,9,0.51,10,25,0.34,6,24,4,1,3,0.45,0,8,2,1,1,0,2,2,1,2,2,91,78,46,0.06,41,0.4,0.09,51,1,7,11,3,1,9,7,8,8,1,12,4,11,0,11,4,2,9,1,5,4,7,6,5,11,1,1,11,2,3,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.transport.http.AbstractHTTPDestination,MEDIUM,1085,0.58,9,0.43,7,29,0.43,0,8,3,1,6,0.45,3,10,2,0,2,1,2,0,2,1,1,33,57,38,0.49,42,0.24,0.89,100,7,8,2,9,4,6,5,7,1,7,1,5,10,12,8,1,4,10,3,9,3,1,6,7,2,11,12,7,10,0,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.transport.http.HTTPConduit,MEDIUM,1064,0.45,12,0.41,9,28,0.31,5,14,7,1,5,0.42,2,5,2,2,1,2,1,1,2,1,2,79,77,7,0.79,36,0.11,0.19,74,6,7,8,10,6,10,3,3,10,2,8,12,4,9,7,12,5,2,2,2,0,6,7,0,5,8,4,3,12,4,12,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.transport.http.netty.server.NettyHttpDestinationTest,MEDIUM,913,0.57,8,0.42,5,29,0.36,5,17,3,2,5,0.54,1,6,2,2,1,0,2,0,1,0,0,89,102,36,0.07,16,0.95,0.28,50,0,6,12,4,1,7,8,2,0,2,7,2,11,6,7,0,5,9,7,7,7,7,5,5,1,12,5,11,2,10,8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.transport.jms.JMSUtils,MEDIUM,965,0.63,8,0.51,10,30,0.45,7,15,6,2,3,0.53,3,1,1,0,1,0,0,0,2,1,0,50,64,25,0.73,8,0.96,0.58,79,10,5,11,3,0,2,3,9,10,10,0,3,0,9,10,12,0,11,1,7,12,1,6,10,10,6,8,6,4,0,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
org.apache.cxf.ws.addressing.EndpointReferenceUtils,NON-SEVERE,896,0.36,21,0.52,5,32,0.37,4,15,7,3,3,0.52,3,10,0,0,2,1,2,0,0,0,1,86,119,51,0.53,44,0.52,0.73,45,7,9,0,2,5,3,12,1,8,8,7,2,12,12,7,9,6,2,5,3,12,9,9,10,1,0,7,9,2,5,4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
org.apache.cxf.ws.addressing.impl.MAPAggregatorImpl,MEDIUM,972,0.46,10,0.51,6,30,0.42,7,19,6,3,5,0.4,0,6,0,2,2,1,1,1,2,1,0,114,63,40,0.88,27,0.43,0.92,55,7,1,5,10,6,6,10,9,0,9,12,8,7,3,8,11,6,4,12,8,5,12,9,3,10,6,3,0,8,7,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.ws.addressing.impl.MAPAggregatorTest,MEDIUM,1063,0.41,17,0.52,9,34,0.45,5,22,7,2,3,0.54,1,1,2,0,2,0,1,2,2,0,0,42,81,36,0.04,26,0.56,0.41,11,12,8,8,6,0,12,6,0,7,10,9,9,11,1,3,11,7,10,9,9,12,3,3,10,5,9,6,0,7,10,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.ws.addressing.soap.MAPCodec,MEDIUM,950,0.47,18,0.49,8,26,0.43,3,14,7,3,5,0.49,0,5,2,2,1,1,0,1,0,0,0,43,40,44,0.55,19,0.23,0.82,17,1,4,10,0,5,3,7,4,8,0,11,12,0,11,12,7,4,5,0,4,10,12,11,1,1,0,1,2,9,11,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cxf.ws.policy.PolicyEngineTest,MEDIUM,904,0.3,18,0.48,9,27,0.31,6,17,7,4,3,0.42,1,10,2,1,0,2,0,0,0,1,1,53,75,12,0.89,20,0.25,0.77,39,1,11,11,8,11,3,1,12,6,2,2,6,0,4,2,7,5,12,11,8,3,10,7,2,4,2,3,1,9,11,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cxf.ws.rm.DestinationSequenceTest,MEDIUM,1048,0.52,9,0.55,10,34,0.37,4,17,7,4,4,0.54,3,9,1,2,2,0,2,2,1,0,2,58,65,30,0.56,31,0.46,0.86,99,0,6,10,6,7,1,1,9,6,2,12,3,10,2,2,2,3,10,7,8,10,5,8,11,9,2,0,9,6,9,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
